timestamp_open,timestamp_close,low,high,open,close,volume,volume_quote,trades,taker_buy_volume,taker_buy_quote,adx,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr_prev,atr_last,ema_short,ema_long
1710489600000,1710493199999,85.64,89.85,89.69,85.75,507103.445,4.44130945287E7,79912,244083.468,2.137839146148E7,55.4214948439059,29.390442090839983,-1.917171468930178,-1.27043444514362,97.97890010815715,92.24650000000001,86.51409989184287,2.14147478173618,2.2892265830407386,89.56681235839775,92.18930260828719
1710493200000,1710496799999,83.34,87.94,85.76,87.72,869010.547,7.445431033665E7,126943,427586.61,3.664333985743E7,9.159905559833057,37.24852537920585,-2.059405889333462,-1.5162617701284293,97.95906045204937,91.94600000000001,85.93293954795065,2.5354234762007337,2.6828932279006814,89.19944461432057,91.94747631993492
1710496800000,1710500399999,86.6,87.95,87.71,87.01,206473.094,1.803861651131E7,37881,98346.112,8591097.96519,13.686780296418705,33.585517350185,-2.3576462817542847,-1.925962604916875,97.76462790519271,91.55,85.33537209480728,2.6687800302036115,2.5745814566176395,88.7670260807902,91.82645252576602
1710500400000,1710503999999,85.61,88.06,87.02,87.85,313439.021,2.720632909915E7,53289,153401.694,1.331718192017E7,13.746877825152373,36.24035701537878,-2.216817896491719,-1.88009462051285,97.54970817795005,91.24249999999999,84.93529182204993,2.4271769473371325,2.4288071653844803,88.58126345928392,91.42644311104995
1710504000000,1710507599999,87.16,88.38,87.85,88.0,168857.967,1.482241960325E7,33283,75552.758,6633784.0892,74.78486100772984,38.95657366210741,-2.046447447841885,-1.8013231399736274,97.02314782802138,90.87150000000001,84.71985217197864,2.4883962223276637,2.3977964921614023,88.46247202320595,91.05906302863251
1710507600000,1710511199999,87.36,89.03,87.99,88.85,220887.959,1.949738154563E7,38126,104322.555,9209179.25548,35.04367036856764,46.08102356369138,-1.856502913741508,-1.75633807172466,96.52764320664807,90.57900000000001,84.63035679335195,2.350752499837836,2.302127321277991,88.53870824645416,90.83864398941581
1710511200000,1710514799999,87.93,89.02,88.84,89.0,150984.664,1.335695259491E7,31492,76082.115,6730081.32397,32.409899192675326,46.38704889515747,-1.4572531621851255,-1.4124144731610646,96.29079919566722,90.3915,84.49220080433277,2.6706385944792577,2.5577358377307395,88.62452906717388,90.4144683814364
1710514800000,1710518399999,88.17,89.29,88.99,88.28,120427.361,1.067836408438E7,24059,50924.776,4516140.5601,69.76399441062021,43.28506313410683,-1.5499828281212018,-1.5999882098745852,96.1670921554879,90.22599999999998,84.28490784451208,2.228427891465777,2.149254470646793,88.55925003119795,90.41860172901102
1710518400000,1710521999999,87.49,89.18,88.28,88.42,239899.207,2.117344228094E7,36858,119861.203,1.057828322343E7,61.84368915025404,42.0964164812651,-1.357301652500766,-1.427404347465664,95.65380391820307,89.942,84.23019608179692,2.2668644514557084,2.2256598477803005,88.52858927242775,90.14481951615001
1710522000000,1710525599999,87.75,89.17,88.41,89.09,99012.569,8764077.58662,22168,46693.366,4133981.24855,16.860962250970502,37.77009853341393,-1.406168742688095,-1.6125616376139387,94.90703319205274,89.65349999999998,84.39996680794722,2.199001585463613,2.143358615073355,88.64516310460183,90.25867124178365
