timestamp_open,timestamp_close,low,high,open,close,volume,volume_quote,trades,taker_buy_volume,taker_buy_quote,adx,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr_prev,atr_last,ema_short,ema_long
1710417600000,1710418499999,3954.85,3971.94,3959.22,3965.21,26139.014,1.0364435166135E8,40324,14680.069,5.82103423124E7,31.1929833649595,45.91337752624643,-4.481609978204233,-1.4200591852408617,4001.8518852746033,3975.592500000001,3949.333114725399,14.75868841895307,14.925210674742138,3966.754153601875,3973.590207597204
1710418500000,1710419399999,3911.0,3965.5,3965.22,3942.71,96949.206,3.8156813791392E8,131025,41718.581,1.6422633897262E8,16.763946507796337,38.04981425446631,-7.461718311407367,-3.9448850510340328,4004.1154205883286,3974.2820000000015,3944.4485794116745,15.740639875017282,18.509165598230332,3961.975153126099,3972.6372262210134
1710419400000,1710420299999,3928.32,3943.63,3942.7,3933.8,33793.871,1.3302699991188E8,60241,17834.706,7.020583444434E7,11.907889375226336,31.398136876651407,-10.808743285469063,-6.8422288239181075,4006.97121204758,3972.302000000001,3937.632787952422,18.708318499066763,18.465581463419138,3956.3746675561747,3971.305750809415
1710420300000,1710421199999,3931.42,3950.76,3933.8,3947.14,23185.117,9.140222395912E7,38953,13424.646,5.292566053172E7,7.66015438021659,43.06387240966293,-9.736639262183871,-5.9618966457434635,4007.635329384351,3971.3250000000007,3935.0146706156506,19.128901755181417,19.143980201239888,3954.494669923773,3968.0365878978405
1710421200000,1710422099999,3926.07,3956.12,3947.14,3933.22,33509.216,1.3206943925492E8,53727,14980.566,5.905146686845E7,20.72417375629198,35.32364229247047,-11.216510074256348,-7.2315680879318585,4009.2977516337673,3969.3785000000003,3929.459248366233,17.847134146186917,18.71876742145928,3950.244692534879,3965.6793122795348
1710422100000,1710422999999,3920.38,3941.57,3933.22,3927.46,36980.32,1.4530198687626E8,59292,17261.202,6.782712164179E7,39.42920261936461,34.298456487823714,-12.481066576503054,-8.21744375935752,4009.830443533066,3966.564,3923.2975564669337,19.54517355327659,19.662661156613975,3945.6863033169197,3962.7833552640523
1710423000000,1710423899999,3881.0,3932.14,3927.46,3894.01,149078.643,5.8165552028014E8,188850,63641.667,2.4832032361506E8,63.113467516166544,30.707864572976945,-14.16506876754238,-7.3528645842348705,4015.169516687117,3962.202,3909.2344833128836,19.748908475873847,21.991129299025715,3935.3044990094804,3955.606925489253
1710423900000,1710424799999,3851.28,3900.14,3894.23,3881.1,166359.748,6.4420574375881E8,204425,78879.133,3.0551263444134E8,17.583068947934137,28.024066183181432,-18.47689867405188,-10.175228980892289,4019.803758221684,3957.1075000000005,3894.411241778317,20.785234962464973,22.790575322288902,3924.477139176764,3950.693597873392
1710424800000,1710425699999,3874.0,3902.68,3881.1,3895.0,69226.326,2.6944757379665E8,102233,34792.622,1.3542643423781E8,72.10931691158149,32.48686944103946,-19.255844732903824,-11.095015763254588,4018.236088540029,3952.232,3886.227911459971,23.65775291411997,24.016484848825687,3918.5614013876416,3945.659590326275
1710425700000,1710426599999,3892.07,3934.75,3895.0,3913.56,77774.296,3.0461382576654E8,113529,43727.324,1.7126831911134E8,55.056703499912885,41.35228951437396,-19.522544482958438,-13.510128640108642,4012.730859042543,3948.0544999999997,3883.3781409574563,22.85763450458851,24.27351775426076,3917.5776531706965,3944.02139654273
1710426600000,1710427499999,3882.13,3915.46,3913.55,3887.97,55990.458,2.1807058938557E8,92677,24225.673,9.433750731303E7,37.35745682840061,31.619004675480824,-22.408043532502234,-16.83695892056231,4009.7854014266168,3942.9875,3876.1895985733836,25.17989867302813,25.762048767811837,3911.691181385326,3941.4377817034447
1710427500000,1710428399999,3866.66,3893.0,3887.97,3890.2,59932.287,2.326326284093E8,102709,28780.479,1.1173536089103E8,31.34334598306635,33.10809548746482,-22.7424727164439,-17.684603209485605,4004.4307909998442,3937.8824999999997,3871.334209000155,24.57497202818052,24.701045454739056,3907.3853893218884,3937.3043860566318
