timestamp_open,timestamp_close,low,high,open,close,volume,volume_quote,trades,taker_buy_volume,taker_buy_quote,adx,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr_prev,atr_last,ema_short,ema_long
1710419400000,1710420299999,0.182,0.18621,0.18362,0.1853,2.59647694E8,4.787403573651E7,88713,1.30130175E8,2.399940223705E7,51.02285792021137,50.67297763880802,-9.751824704837819E-4,-9.991250688471357E-4,0.1895239139939171,0.1849705,0.18041708600608292,0.0027441869730123556,0.002848887903511473,0.18386498505652168,0.18503823276606868
1710420300000,1710421199999,0.18502,0.18661,0.18529,0.18613,1.71490059E8,3.189130966195E7,56458,8.4694711E7,1.575421273714E7,26.75952159941962,54.05507924718481,-6.32961629235429E-4,-8.11182667157674E-4,0.1894915267856352,0.1849555,0.1804194732143648,0.0027500955196319843,0.0026672315539439857,0.1843153888547052,0.18500283089615147
1710421200000,1710422099999,0.18483,0.18681,0.18612,0.18604,1.77571098E8,3.299545406329E7,55147,7.8808102E7,1.464871203798E7,33.97243125556653,47.723462968304226,-5.970530673775065E-4,-9.25749145161156E-4,0.18950200385377505,0.184961,0.18041999614622492,0.0029636087055824514,0.0028933509408979904,0.184663877414932,0.18523919631847102
1710422100000,1710422999999,0.18438,0.18964,0.18604,0.18659,5.01560817E8,9.370940443895E7,165305,2.44391251E8,4.568015277613E7,21.639146031119434,55.364582321058485,-1.7135463483963775E-4,-5.281109751094955E-4,0.18959499114440564,0.18500750000000002,0.1804200088555944,0.002684789241596848,0.002868732867197073,0.18504351065002989,0.18508913258739088
1710423000000,1710423899999,0.18005,0.18932,0.18658,0.18191,8.10186985E8,1.4929372027371E8,272217,3.61019265E8,6.651300320792E7,33.18368623045449,47.67641301819117,-8.207562807668878E-5,-9.34409305207047E-5,0.18949490875534214,0.1847755,0.18005609124465788,0.002994183513393249,0.0034424561195794457,0.1844089807253419,0.18450346871635778
1710423900000,1710424799999,0.1753,0.18269,0.18191,0.17875,8.25732691E8,1.4728529796355E8,292928,3.78945724E8,6.760818828668E7,9.381882357090692,39.24728475169206,-7.105070257833468E-4,-4.1559539784406693E-4,0.18986799358736536,0.18446849999999998,0.1790690064126346,0.003180577895644928,0.0034812509030988617,0.1832816878289516,0.18427873647655374
1710424800000,1710425699999,0.17822,0.18131,0.17875,0.18033,3.27969163E8,5.906269840539E7,129949,1.76900901E8,3.186198685161E7,55.34111173219153,39.84278263600488,-0.001051849791056686,-6.90901837278975E-4,0.18963017490880626,0.1841165,0.1786028250911937,0.003405980515381156,0.003383410478568216,0.1826947050323107,0.18413631143611767
1710425700000,1710426599999,0.1803,0.18298,0.18032,0.18089,2.266195E8,4.116428159225E7,97165,1.10987395E8,2.016981739933E7,38.573375566988375,41.08859998538866,-0.001087886978574315,-7.036071714874402E-4,0.18873729145646467,0.1836785,0.17861970854353532,0.0034461358016663044,0.003391411815832997,0.18233225286857405,0.18382824304042703
1710426600000,1710427499999,0.17767,0.1812,0.1809,0.17816,2.59113449E8,4.635885598741E7,91732,1.20021488E8,2.147595668298E7,31.799055696648427,34.674180875556445,-0.0013396907045120088,-7.94810363305005E-4,0.18863588864027458,0.183248,0.1778601113597254,0.0033475040896643353,0.0033605395118311687,0.181496986269931,0.18337186870935235
1710427500000,1710428399999,0.17527,0.1786,0.17816,0.17756,3.6509532E8,6.453114062906E7,114600,1.64436429E8,2.907926931484E7,13.26165078803049,34.563364339232066,-0.0017059758095282762,-0.0010957546679597836,0.18861784879653706,0.18283349999999998,0.1770491512034629,0.003322904317972316,0.0033234111524028647,0.18071227887589345,0.18306168948585635
1710428400000,1710429299999,0.17702,0.17956,0.17756,0.17808,2.19538934E8,3.918399187018E7,73839,1.1714302E8,2.091593094403E7,44.961140164946165,38.390264324308816,-0.0016380498456724235,-9.827972792542305E-4,0.1885686417165156,0.18250100000000002,0.17643335828348444,0.0037138762886884625,0.0036300279823535723,0.18018080605856335,0.1824682405219453
