timestamp_open,timestamp_close,low,high,open,close,volume,volume_quote,trades,taker_buy_volume,taker_buy_quote,adx,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr_prev,atr_last,ema_short,ema_long
1710489600000,1710493199999,67058.0,68665.5,68487.4,67122.6,39148.522,2.65329224855474E9,499418,17935.406,1.2156207916611E9,41.23346911635364,26.777934206556097,-1242.6268778086524,-968.5015455708833,73369.62614395392,70104.47,66839.31385604608,1257.5781585853838,1282.572575829285,68695.21063078791,70328.93962477095
1710493200000,1710496799999,65580.0,68194.0,67123.1,67857.8,77114.472,5.15244450033986E9,959153,37415.514,2.50235451914569E9,25.710698180653363,32.075145274889564,-1261.2790330812713,-1040.9155770966568,73189.32782851836,69899.795,66610.26217148163,1219.6904394234516,1319.2839794646336,68528.04252311197,70159.93970841797
1710496800000,1710500399999,67277.4,68160.2,67857.8,67308.8,19675.979,1.33178112975232E9,312618,9297.659,6.294739778569E8,24.058616908493487,31.788600049971265,-1295.5084742188774,-1092.7411635601843,73032.74068860695,69676.635,66320.52931139304,1323.831565389245,1292.3293107185848,68284.21457022852,69949.66354645498
1710500400000,1710503999999,66800.0,67960.0,67308.9,67818.3,25397.053,1.70918689554809E9,376753,13378.938,9.0062914695437E8,42.58560736505414,34.34576465525025,-1222.9728159463994,-1071.5831129884104,72921.93532936131,69522.32500000001,66122.71467063871,1316.5412854344468,1305.3597650462718,68189.96205906391,69743.93686102435
1710504000000,1710507599999,67528.8,68128.8,67818.3,67962.6,13206.896,8.955472733608E8,218604,6436.541,4.365442519865E8,7.736309814836045,37.81020761629129,-1164.935339796648,-1077.1686479773264,72698.0994477517,69349.85500000001,66001.61055224833,1289.2393570100633,1240.0079743664874,68144.19315819387,69598.72268940037
1710507600000,1710511199999,67444.9,68700.0,67962.7,68498.0,29998.068,2.04474513413873E9,393520,15054.744,1.02655591972446E9,39.41268198048715,47.19901124324544,-1067.6920602198516,-1068.9109428134093,72487.56556997796,69219.89500000002,65952.22443002208,1292.5561137919105,1289.8806770924884,68214.8103621511,69510.73855123705
1710511200000,1710514799999,67877.0,68678.7,68498.0,68655.7,18832.079,1.2846502979052E9,294122,9423.249,6.429100859571E8,27.121088893225192,45.77076718871127,-856.7140717576112,-901.037830431812,72392.19029414482,69144.98000000001,65897.7697058552,1401.6885655148303,1358.832239406628,68300.14610511897,69320.25862357125
1710514800000,1710518399999,68145.3,68777.0,68655.7,68199.2,12830.525,8.7809346807738E8,206299,5936.099,4.0633866031568E8,70.95034662221407,43.26466607303611,-792.4289097976289,-855.4004048184521,72348.11197208488,69079.92000000001,65811.72802791515,1346.3185374485595,1295.274356202234,68279.41498309653,69212.97556779663
1710518400000,1710521999999,67568.0,68473.0,68199.2,67954.3,23641.894,1.6071504308508E9,305981,11591.799,7.8815006195397E8,58.66325127553854,41.73111117928716,-664.9071399034001,-701.5916626575802,72139.23456689899,68937.095,65734.95543310101,1328.2521948210538,1298.0198951909783,68211.77012860593,69002.45281044878
1710522000000,1710525599999,67658.4,68379.3,67954.3,68262.3,10146.224,6.9052856310663E8,168295,5039.811,3.429797280855E8,24.035261561746417,37.75498266175124,-683.6786170927662,-765.7011230059904,71836.51296441953,68792.02,65747.52703558048,1306.0487365475337,1264.2523982227099,68223.40992751838,69016.24157147415
